SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0036545,1,62,79,1,1,1,16,56900,0,0,0,6,1,1,1,07507,1019518
2023GQ0036709,1,12,85,2,1,1,21,9100,64,0,0,6,1,5,1,07508,1019518
2023GQ0037441,1,5,64,2,1,1,21,0,0,0,0,6,1,5,1,07514,1019518
2023GQ0038032,1,75,44,2,2,1,15,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0038833,1,16,36,1,2,1,16,0,0,9920,9,3,1,5,1,07514,1019518
2023GQ0040601,1,125,19,1,2,3,19,6000,0,4350,2,1,1,5,1,07513,1019518
2023GQ0040851,1,9,57,1,1,2,16,12500,79,0,0,6,1,5,1,07510,1019518
2023GQ0041124,1,15,47,1,1,1,17,12500,80,4251,1,6,1,5,1,07510,1019518
2023GQ0041363,1,16,60,1,6,1,18,45000,294,4530,1,1,5,1,2,07510,1019518
2023GQ0041927,1,93,33,1,6,1,23,0,0,2100,1,6,5,5,2,07510,1019518
2023GQ0042155,1,56,79,1,1,1,16,56900,0,0,0,6,1,1,1,07507,1019518
2023GQ0042342,1,75,29,2,2,1,23,90000,0,3090,2,2,4,5,2,07510,1019518
2023GQ0042838,1,50,29,2,2,1,23,90000,0,3090,2,2,4,5,2,07509,1019518
2023GQ0042933,1,57,29,2,2,1,23,90000,0,3090,2,2,4,5,2,07508,1019518
2023GQ0043335,1,169,30,1,2,1,17,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0043436,1,6,94,2,6,1,21,5000,0,0,0,6,5,2,2,07512,1019518
2023GQ0043804,1,7,59,1,2,1,16,6200,39,0,0,6,1,5,1,07510,1019518
2023GQ0044024,1,82,18,2,1,1,16,0,0,0,0,6,5,5,2,07513,1019518
2023GQ0044906,1,65,69,1,2,1,15,13600,94,0,0,6,1,5,1,07510,1019518
2023GQ0044919,1,76,40,1,9,4,16,0,0,6260,1,6,1,1,1,07510,1019518
2023GQ0045357,1,17,38,1,1,1,18,700,4,9620,1,3,1,5,1,07507,1019518
2023GQ0045987,1,222,66,2,6,1,18,14200,98,0,0,6,4,2,2,07509,1019518
2023GQ0047108,1,65,78,1,6,1,21,13300,0,0,0,6,4,2,2,07507,1019518
2023GQ0047473,1,8,29,1,1,2,16,75000,483,4040,1,2,1,5,1,07509,1019518
2023GQ0047593,1,105,29,1,1,2,16,75000,483,4040,1,2,1,5,1,07509,1019518
2023GQ0047684,1,6,51,1,6,1,21,31300,199,3602,1,1,4,5,2,07513,1019518
2023GQ0047885,1,6,65,2,6,1,16,224000,501,3602,1,1,5,2,2,07513,1019518
2023GQ0048288,1,47,19,2,6,1,19,0,0,0,0,6,1,5,1,07508,1019518
2023GQ0048300,1,63,30,2,1,1,24,33600,0,1650,4,1,5,5,2,07509,1019518
2023GQ0048333,1,91,85,2,9,2,16,0,0,0,0,6,1,2,1,07512,1019518
2023GQ0048897,1,66,38,1,9,1,21,0,0,5240,1,3,1,5,1,07509,1019518
2023GQ0048931,1,3,66,2,6,1,18,14200,98,0,0,6,4,2,2,07509,1019518
2023GQ0048998,1,59,80,1,6,1,15,13800,97,0,0,6,4,1,2,07514,1019518
2023GQ0049029,1,65,18,2,8,2,19,3000,0,4055,1,1,1,5,1,07512,1019518
2023GQ0049208,1,64,18,2,1,1,16,0,0,0,0,6,5,5,2,07510,1019518
2023GQ0049244,1,5,71,2,6,1,22,62100,428,3602,1,1,5,2,2,07513,1019518
2023GQ0050024,1,91,64,1,2,1,14,60,0,0,0,6,1,3,1,07512,1019518
2023GQ0050417,1,60,29,2,2,1,23,90000,0,3090,2,2,4,5,2,07513,1019518
2023GQ0050928,1,34,24,2,6,1,22,2400,0,3050,5,1,3,5,1,07512,1019518
2023GQ0051026,1,160,67,2,1,1,19,15600,108,0,0,6,3,5,1,07509,1019518
2023GQ0051303,1,15,17,1,8,2,13,0,0,0,0,6,1,5,1,07511,1019518
2023GQ0051864,1,207,63,1,8,2,1,0,0,0,0,6,1,3,1,07509,1019518
2023GQ0052098,1,47,19,1,2,3,16,6000,0,4350,2,1,1,5,1,07512,1019518
2023GQ0052161,1,146,20,2,9,1,19,31700,0,4700,1,1,1,5,1,07513,1019518
2023GQ0052410,1,145,31,2,8,24,20,0,0,3602,1,6,1,5,1,07510,1019518
2023GQ0053528,1,64,50,2,1,1,14,11900,76,6230,1,6,1,5,1,07509,1019518
2023GQ0053867,1,99,54,1,8,2,19,1300,8,7300,1,3,1,5,1,07514,1019518
2023GQ0053889,1,18,72,2,6,1,8,13800,98,0,0,6,4,5,2,07514,1019518
2023GQ0054206,1,171,46,1,1,1,17,0,0,5240,1,3,3,3,1,07511,1019518
2023GQ0054260,1,54,19,2,2,1,16,5100,0,4760,1,1,1,5,1,07510,1019518
2023GQ0054613,1,8,58,1,1,1,10,2700,17,0,0,6,1,1,1,07509,1019518
2023GQ0054942,1,53,19,1,1,1,16,3200,0,4720,1,2,1,5,1,07512,1019518
2023GQ0055161,1,8,39,2,2,1,18,470,3,0,0,6,1,5,1,07510,1019518
2023GQ0056089,1,14,33,2,6,1,22,0,0,800,1,6,5,5,2,07510,1019518
2023GQ0056141,1,54,20,2,9,1,19,31700,0,4700,1,1,1,5,1,07513,1019518
2023GQ0056735,1,32,34,1,9,2,23,120000,0,3100,2,1,1,1,1,07512,1019518
2023GQ0057317,1,25,73,1,8,2,16,19000,0,0,0,6,5,4,2,07514,1019518
2023GQ0057675,1,60,21,2,1,1,16,4900,0,5400,1,1,1,5,1,07508,1019518
2023GQ0058315,1,47,19,2,1,2,19,5000,0,4055,1,3,1,5,1,07508,1019518
2023GQ0058484,1,79,24,2,1,1,21,0,0,2545,2,6,4,5,2,07512,1019518
2023GQ0058800,1,5,85,2,1,1,21,9100,64,0,0,6,1,5,1,07514,1019518
2023GQ0059722,1,32,67,1,1,1,16,0,0,0,0,6,1,5,1,07512,1019518
2023GQ0060092,1,68,19,1,8,2,19,9600,0,4120,1,1,1,5,1,07509,1019518
2023GQ0060237,1,17,32,1,8,2,18,0,0,4940,1,6,1,5,1,07510,1019518
2023GQ0060757,1,18,73,1,1,1,16,33800,240,0,0,6,1,5,1,07514,1019518
2023GQ0060909,1,230,41,1,1,1,21,0,0,4510,1,6,1,2,1,07510,1019518
2023GQ0062144,1,71,19,1,1,1,16,10000,0,4760,1,6,1,5,1,07508,1019518
2023GQ0062417,1,172,94,2,1,1,22,5800,41,0,0,6,1,5,1,07508,1019518
2023GQ0063214,1,5,74,2,1,1,21,12800,91,0,0,6,1,5,1,07514,1019518
2023GQ0063536,1,34,22,2,6,1,21,0,0,3655,1,6,1,5,1,07512,1019518
2023GQ0064409,1,59,68,1,2,1,18,17100,0,0,0,6,1,2,1,07512,1019518
2023GQ0064700,1,20,71,2,1,1,21,35200,248,5860,1,6,1,3,1,07513,1019518
